_key,_ts,time_ms,time_iso,coin,dir,side,px,sz,startPosition,closedPnl,fee,feeToken,builderFee,oid,tid,hash,crossed,liquidation
fill-205791279505247,1781326295955,1781326295955,2026-06-13T12:51:35.955000+08:00,BTC,Open Long,B,63614.0,0.00031,0.0,0.0,0.002958,USDC,,467314605340,205791279505247,0x338fb98ba176d7743509043d9a132802033f00713c79f646d75864de607ab15e,False,
fill-1036032950930479,1781326893092,1781326893092,2026-06-13T13:01:33.092000+08:00,BTC,Open Long,B,63470.0,0.00031,0.00031,0.0,0.002951,USDC,,467319355547,1036032950930479,0xf9e40e84f33f2de9fb5d043d9a35420202b9006a8e324cbc9dacb9d7b23307d4,False,
fill-706777364945875,1781329204551,1781329204551,2026-06-13T13:40:04.551000+08:00,BTC,Close Long,A,63555.0,0.00031,0.00062,0.00403,0.002955,USDC,,467334127199,706777364945875,0xe7f8cd4cd7773ba5e972043d9ab95e011100e532727a5a778bc1789f967b1590,False,
fill-439023806749354,1781331681074,1781331681074,2026-06-13T14:21:21.074000+08:00,BTC,Close Long,A,63600.0,0.00031,0.00031,0.01798,0.002957,USDC,,467321814135,439023806749354,0x8c9853064e1aed138e12043d9b46db0202da00ebe91e0be53060fe590d1ec6fe,False,
fill-1025625935958308,1781332018011,1781332018011,2026-06-13T14:26:58.011000+08:00,BTC,Open Short,A,63613.0,0.00031,0.0,0.0,0.002958,USDC,,467351872451,1025625935958308,0x1f4e8dd642ccb4e920c8043d9b5a0d0209e300bbddcfd3bbc317392901c08ed3,False,
fill-817191796064231,1781333393963,1781333393963,2026-06-13T14:49:53.963000+08:00,BTC,Open Short,A,63680.0,0.00031,-0.00031,0.0,0.002961,USDC,,467355044940,817191796064231,0xd392b7925c7468ddd50c043d9ba8c00204770077f77787af775b62e51b7842c8,False,
fill-306125063109581,1781333543803,1781333543803,2026-06-13T14:52:23.803000+08:00,BTC,Close Short,B,63700.0,0.00031,-0.00062,-0.016585,0.008886,USDC,,467351872452,306125063109581,0xaff4331a2297fc0db16d043d9bb146010b004affbd9b1adf53bcde6ce19bd5f8,True,
fill-341277475815040,1781333543803,1781333543803,2026-06-13T14:52:23.803000+08:00,BTC,Close Short,B,63700.0,0.00031,-0.00031,-0.016585,0.008886,USDC,,467355044941,341277475815040,0xaff4331a2297fc0db16d043d9bb146010b004affbd9b1adf53bcde6ce19bd5f8,True,
fill-869893195780547,1781339455618,1781339455618,2026-06-13T16:30:55.618000+08:00,BTC,Open Short,A,63815.0,0.00031,0.0,0.0,0.002967,USDC,,467400963963,869893195780547,0x13987b0f43c7875a1512043d9d02720201ba00f4decaa62cb761266202cb6144,False,
fill-50922751564926,1781339754864,1781339754864,2026-06-13T16:35:54.864000+08:00,BTC,Close Short,B,63871.0,0.00031,-0.00031,-0.01736,0.00891,USDC,,467400863555,50922751564926,0x5dff2e35c9a2440e5f78043d9d135f020867001b64a562e001c7d98888a61df9,True,
fill-419588285882578,1781341925961,1781341925961,2026-06-13T17:12:05.961000+08:00,BTC,Open Short,A,63774.0,0.00031,0.0,0.0,0.002965,USDC,,467414616471,419588285882578,0x3cac4d0f9cbb83c53e26043d9d882602039d00f537bea297e074f8625bbf5daf,False,
fill-881701301378756,1781349306321,1781349306321,2026-06-13T19:15:06.321000+08:00,BTC,Close Short,B,63915.0,0.00031,-0.00031,-0.04371,0.008559,USDC,,467421850499,881701301378756,0x9af2986a6d1854969c6c043d9f2e9d00002db050081b73683ebb43bd2c1c2e81,True,
fill-1123321494749793,1781410275554,1781410275554,2026-06-14T12:11:15.554000+08:00,BTC,Open Long,B,64475.0,0.00031,0.0,0.0,0.002878,USDC,,468328861041,1123321494749793,0x270e25b9164927682887043dacce8b01e5003d9eb14c463acad6d10bd54d0152,False,
fill-581848942695435,1781411325148,1781411325148,2026-06-14T12:28:45.148000+08:00,BTC,Close Long,A,64439.0,0.00031,0.00031,-0.01116,0.008629,USDC,,468328716481,581848942695435,0xebd79367a5e3ffc1ed51043dad0aae000012ab4d40e71e938fa03eba64e7d9ac,True,
fill-1049293224206315,1781494700656,1781494700656,2026-06-15T11:38:20.656000+08:00,BTC,Open Short,A,65740.0,0.0003,0.0,0.0,0.002839,USDC,,469333907888,1049293224206315,0x10946f2c5dca8221120e043dbfa1860205f60011f8cda0f3b45d1a7f1cce5c0b,False,
fill-341024422951819,1781495096149,1781495096149,2026-06-15T11:44:56.149000+08:00,BTC,Close Short,B,65887.0,0.0003,-0.0003,-0.0441,0.008538,USDC,,469333907889,341024422951819,0x08ae15c909915ab00a27043dbfb8050000e92daea4947982ac76c11bc895349a,True,
fill-521420864948467,1781497119256,1781497119256,2026-06-15T12:18:39.256000+08:00,TAO,Open Short,A,276.3,0.072,0.0,0.0,0.002864,USDC,,469359812883,521420864948467,0xd9fcb7890369659bdb76043dc02b7201c400cf6e9e6c846d7dc562dbc26d3f86,False,
fill-206957979068030,1781497221337,1781497221337,2026-06-15T12:20:21.337000+08:00,LIT,Open Short,A,1.7026,11.0,0.0,0.0,0.00809,USDC,,469362031764,206957979068030,0x95ef8d79dfe5168f9769043dc0313802026e005f7ae8356139b838cc9ee8f07a,True,
fill-627953438916592,1781504522673,1781504522673,2026-06-15T14:22:02.673000+08:00,xyz:BRENTOIL,Open Long,B,82.662,0.24,0.0,0.0,0.000571,USDC,,469372201949,627953438916592,0xe3aa5c18e9fe82e5e524043dc1d12c0203f300fe84f1a1b78773076ba8f25cd0,False,
fill-252450934134601,1781504621490,1781504621490,2026-06-15T14:23:41.490000+08:00,TAO,Close Short,B,282.05,0.072,-0.072,-0.414,0.008772,USDC,,469362452478,252450934134601,0xb1bd347493c5e7a6b336043dc1d6d70101004c5a2ec906785585dfc752c9c191,True,
fill-272661618054592,1781506363250,1781506363250,2026-06-15T14:52:43.250000+08:00,LIT,Close Short,B,1.7112,11.0,-11.0,-0.0946,0.008131,USDC,,469434389995,272661618054592,0xb23252fa629ca450b3ac043dc23a0a02013700dffd9fc32255fafe4d21907e3b,True,
fill-900775197208931,1781506813333,1781506813333,2026-06-15T15:00:13.333000+08:00,BTC,Open Short,A,65784.0,0.0003,0.0,0.0,0.008525,USDC,,469436855085,900775197208931,0x7c0a1d3597ee0ceb7d83043dc253a7020383001b32e12bbd1fd2c88856e1e6d6,True,
fill-910395425953713,1781507927473,1781507927473,2026-06-15T15:18:47.473000+08:00,xyz:BRENTOIL,Close Long,A,82.185,0.24,0.24,-0.11448,0.001704,USDC,,469439807663,910395425953713,0x98610ead81ea671899da043dc292fc0201ba00931ced85ea3c29ba0040ee4103,True,
fill-936296361740569,1781508102795,1781508102795,2026-06-15T15:21:42.795000+08:00,ZEC,Open Long,B,496.87,0.03,0.0,0.0,0.006439,USDC,,469448650894,936296361740569,0x8238801e6ffe77f383b2043dc29d0b0201b800040af196c526012b712ef251de,True,
fill-1091683749880228,1781508639092,1781508639092,2026-06-15T15:30:39.092000+08:00,BTC,Close Short,B,65942.0,0.0003,-0.0003,-0.0474,0.008546,USDC,,469453130182,1091683749880228,0x727bfc4b9fb558a873f5043dc2bbe102016600313ab8777a1644a79e5eb93293,True,
fill-929664299324052,1781521595269,1781521595269,2026-06-15T19:06:35.269000+08:00,BTC,Open Short,A,65980.0,0.0003,0.0,0.0,0.00285,USDC,,469558697062,929664299324052,0xf9b17a5ddec8669bfb2b043dc5a0c502060b004379cb856e9d7a25b09dcc4086,False,
fill-25467154572708,1781521955527,1781521955527,2026-06-15T19:12:35.527000+08:00,ZEC,Close Long,A,518.74,0.03,0.03,0.6561,0.006722,USDC,,469554919664,25467154572708,0x2957a5ed7a71cc492ad1043dc5b52b000092bdd31574eb1bcd2051403975a633,True,
fill-459460282909902,1781524798684,1781524798684,2026-06-15T19:59:58.684000+08:00,BTC,Close Short,B,66221.0,0.0003,-0.0003,-0.0723,0.008582,USDC,,469601382249,459460282909902,0x05262bc4c9a1d2f6069f043dc6562102071d00aa64a4f1c8a8eed71788a5ace0,True,
fill-154884433529110,1781524815232,1781524815232,2026-06-15T20:00:15.232000+08:00,xyz:INTC,Open Long,B,130.11,0.15,0.0,0.0,0.001686,USDC,,469601625207,154884433529110,0x20a8b64549d854c72222043dc6570a0202cb002ae4db7399c471619808dc2eb1,True,
fill-734550834120016,1781524964511,1781524964511,2026-06-15T20:02:44.511000+08:00,xyz:INTC,Close Long,A,127.73,0.15,0.15,-0.357,0.001655,USDC,,469601625208,734550834120016,0xb9f70084dd42c637bb70043dc65f860202ae006a7845e5095dbfabd79c46a022,True,
fill-405531034897070,1781525437844,1781525437844,2026-06-15T20:10:37.844000+08:00,BTC,Open Long,B,66262.0,0.0003,0.0,0.0,0.008587,USDC,,469602038524,405531034897070,0x9b06f745835ba76e9c80043dc67a42010b000f2b1e5ec6403ecfa298425f8159,True,
fill-266503171909704,1781530999667,1781530999667,2026-06-15T21:43:19.667000+08:00,BTC,Close Long,A,66460.0,0.0003,0.0003,0.0594,0.008613,USDC,,469688778051,266503171909704,0x4e5b01606081b39f4fd4043dc7b45702072d0045fb84d271f223acb31f858d89,True,
fill-983330965542848,1781578760510,1781578760510,2026-06-16T10:59:20.510000+08:00,ZEC,Open Long,B,516.85,0.03,0.0,0.0,0.006698,USDC,,470266047712,983330965542848,0x00fdb262f5b30a6a0277043dd23fe2010100ca4890b6293ca4c65db5b4b6e454,True,
fill-237435957399982,1781579665605,1781579665605,2026-06-16T11:14:25.605000+08:00,HYPE,Open Short,A,68.4,0.29,0.0,0.0,0.002856,USDC,,470220581697,237435957399982,0x88c01ee4520b67278a39043dd2735002076800c9ed0e85f92c88ca37110f4112,False,
fill-381320332919679,1781582200527,1781582200527,2026-06-16T11:56:40.527000+08:00,HYPE,Close Short,B,69.446,0.29,-0.29,-0.30334,0.0087,USDC,,470307984089,381320332919679,0xf841b5f9ff284bc3f9bb043dd30303014b00cddf9a2b6a969c0a614cbe2c25ae,True,
fill-130912948377922,1781582820131,1781582820131,2026-06-16T12:07:00.131000+08:00,HYPE,Open Long,B,69.7,0.17,0.0,0.0,0.001706,USDC,,470311981250,130912948377922,0x68ffd96bf90420406a79043dd326560201ba005194073f120cc884beb807fa2b,False,
fill-696052794087772,1781583399558,1781583399558,2026-06-16T12:16:39.558000+08:00,TAO,Open Long,B,262.0,0.076,0.0,0.0,0.002867,USDC,,470313037830,696052794087772,0xec4f38eaa026f9deedc8043dd347490204fd00d03b2a18b09017e43d5f2ad3c9,False,
fill-492160082288762,1781584772888,1781584772888,2026-06-16T12:39:32.888000+08:00,ZEC,Close Long,A,522.65,0.03,0.03,0.174,0.006773,USDC,,470332881151,492160082288762,0x17bcc6f9e5090f3a1936043dd3952f017d00dedf800c2e0cbb85724ca40ce924,True,
fill-110098015157658,1781589424597,1781589424597,2026-06-16T13:57:04.597000+08:00,LIT,Open Short,A,1.7446,6.0,0.0,0.0,0.004522,USDC,,470376647686,110098015157658,0x910b70e05f3d79269285043dd49d800201c300c5fa3097f834d41c331e315311,True,
fill-49355124545241,1781589695975,1781589695975,2026-06-16T14:01:35.975000+08:00,BTC,Open Long,B,66092.0,0.0003,0.0,0.0,0.008565,USDC,,470377727863,49355124545241,0x37882356fcfbfc4f3901043dd4acb6020171003c97ff1b21db50cea9bbffd639,True,
fill-311624949966356,1781597102231,1781597102231,2026-06-16T16:05:02.231000+08:00,LIT,Close Short,B,1.8162,6.0,-6.0,-0.4296,0.004707,USDC,,470376647687,311624949966356,0xd57be2ef1f22a699d6f5043dd650e802041200d4ba25c56b79448e41de268084,True,
fill-290026493903966,1781599765377,1781599765377,2026-06-16T16:49:25.377000+08:00,HYPE,Close Long,A,73.84,0.17,0.17,0.7038,0.005422,USDC,,470346876016,290026493903966,0x78b1c5000fccdba07a2b043dd6e76a0201a200e5aacffa721c7a7052cec0b58b,True,
fill-669666367598525,1781608059967,1781608059967,2026-06-16T19:07:39.967000+08:00,BTC,Close Long,A,66440.0,0.0003,0.0003,0.1044,0.00861,USDC,,470563902659,669666367598525,0xde3ac05e4732d28edfb4043dd8bdf60203750043e235f16082036bb10636ac79,True,
fill-457851166638316,1781609212693,1781609212693,2026-06-16T19:26:52.693000+08:00,TAO,Close Long,A,265.23,0.076,0.076,0.24548,0.008708,USDC,,470577578094,457851166638316,0xf3487bf4275e7664f4c2043dd8ff7e02011f00d9c251953797112746e652504f,True,
fill-17364190060566,1781649416264,1781649416264,2026-06-17T06:36:56.264000+08:00,HYPE,Open Long,B,73.2,0.27,0.0,0.0,0.002846,USDC,,471121140307,17364190060566,0xa5ec324a8d08599ba765043de1f1080000274a30280b786d49b4dd9d4c0c3386,False,
fill-718968829453261,1781665088353,1781665088353,2026-06-17T10:58:08.353000+08:00,HYPE,Close Long,A,74.891,0.27,0.27,0.45657,0.008735,USDC,,471277653134,718968829453261,0xc32ebf616227caecc4a8043de56c780201f20046fd2ae9be66f76ab4212ba4d7,True,
fill-67042938296424,1781689770485,1781689770485,2026-06-17T17:49:30.485000+08:00,xyz:XYZ100,Open Short,A,30164.0,0.0009,0.0,0.0,0.002345,USDC,,471495749522,67042938296424,0xf56ea01936284311f6e8043deadfcf013f00b7fed12b61e499374b6bf52c1cfc,True,
fill-373014598012097,1781690389113,1781690389113,2026-06-17T17:59:49.113000+08:00,ZEC,Open Short,A,511.94,0.05,0.0,0.0,0.003685,USDC,,471533013008,373014598012097,0x9215d0f6d11bd90a938f043deb02ba01ef00e8dc6c1ef7dc35de7c49901fb2f5,False,
fill-554296062834015,1781690741346,1781690741346,2026-06-17T18:05:41.346000+08:00,ZEC,Close Short,B,508.78,0.05,-0.05,0.158,0.010989,USDC,,471540293012,554296062834015,0xcda61c10d2cbdf1dcf1f043deb168102019f00f66dcefdef716ec76391cfb908,True,
fill-182802300349374,1781719542898,1781719542898,2026-06-18T02:05:42.898000+08:00,xyz:XYZ100,Close Short,B,29785.0,0.0009,-0.0009,0.3411,0.002316,USDC,,471536469627,182802300349374,0x9994be01c12edbde9b0e043df16d1f020ddf00e75c21fab03d5d69548022b5c9,True,
fill-24436957942665,1781728674561,1781728674561,2026-06-18T04:37:54.561000+08:00,xyz:BRENTOIL,Open Long,B,78.428,0.25,0.0,0.0,0.000564,USDC,,471561923090,24436957942665,0x681191655c51de12698b043df36d6d020104004af754fce40bda3cb81b55b7fd,False,
fill-885624967636827,1781747367556,1781747367556,2026-06-18T09:49:27.556000+08:00,xyz:BRENTOIL,Close Long,A,78.35,0.25,0.25,-0.0195,0.001692,USDC,,472404176113,885624967636827,0xb263a4e7fe945d3bb3dd043df78e7c02033d00cd99977c0d562c503abd983726,True,
fill-499512967462416,1781759094956,1781759094956,2026-06-18T13:04:54.956000+08:00,XMR,Open Long,B,330.5,0.06,0.0,0.0,0.002855,USDC,,472534559484,499512967462416,0x38678cbc24c5b06939e1043dfa25330202c500a1bfc8cf3bdc30380ee3c98a53,False,
fill-290839497675511,1781759294863,1781759294863,2026-06-18T13:08:14.863000+08:00,XMR,Close Long,A,328.65,0.06,0.06,-0.111,0.008518,USDC,,472534559485,290839497675511,0x38ed1747c126e3eb3a66043dfa307d020889002d5c2a02bddcb5c29a802abdd5,True,
fill-888532471180425,1781787659235,1781787659235,2026-06-18T21:00:59.235000+08:00,AAVE,Open Long,B,74.062,0.4,0.0,0.0,0.012797,USDC,,472842281384,888532471180425,0xef3d97c974ea01c8f0b7043e00725e000078afaf0fed209a9306431c33eddbb3,True,
fill-65404118408893,1781787925879,1781787925879,2026-06-18T21:05:25.879000+08:00,BTC,Open Long,B,64341.0,0.00031,0.0,0.0,0.008616,USDC,,472843617267,65404118408893,0x8386633ed3fbfd978500043e0081960101007b246eff1c69274f0e9192ffd782,True,
